,Year of Release,Game Title,Game Price,Score,Votes,Genre
203,2014,Fistful of Frags,0.0,8.11,34599,PvP
204,2014,Child of Light,14.99,8.1,12644,RPG
205,2014,Detective Grimoire,6.99,8.1,1761,Adventure
206,2014,Grim Legends 2: Song of the Dark Swan,9.99,8.09,1195,Hidden Object
207,2014,Hexcells Plus,2.99,8.09,2346,Puzzle
208,2014,Men of War: Assault Squad 2,29.99,8.09,38071,Strategy
209,2014,Jazzpunk: Director's Cut,14.99,8.08,6622,Comedy
210,2014,The Last Door - Collector's Edition,9.99,8.08,2092,Pixel Graphics
211,2014,Goat Simulator,9.99,8.07,63291,Simulation
212,2014,Farming Simulator 15,12.99,8.07,14230,Farming Sim
213,2014,Ikaruga,9.99,8.07,2035,Shoot 'Em Up
214,2014,NoLimits 2 Roller Coaster Simulation,39.99,8.07,1173,Simulation
215,2014,KAMI,3.99,8.07,1172,Puzzle
216,2014,Turbo Dismount™,9.99,8.07,5202,Funny
217,2014,Coming Out on Top,14.99,8.06,1297,Dating Sim
218,2014,Infested Planet,14.99,8.05,2770,Strategy
219,2014,Divinity: Original Sin (Classic),39.99,8.05,11650,RPG
220,2014,Guacamelee! Super Turbo Championship Edition,5.24,8.04,6170,Metroidvania
221,2014,Chicken Invaders 4,4.99,8.03,444,Action
222,2014,Banished,19.99,8.03,39693,City Builder
223,2014,UnEpic,12.99,8.02,7642,RPG
224,2014,Max: The Curse of Brotherhood,2.99,8.02,1374,Adventure
225,2014,Crimson Imprint plus -Nonexistent Christmas-,1.99,8.0,1982,Visual Novel
226,2014,Metro: Last Light Redux,19.99,7.99,57059,Post-apocalyptic
227,2014,The Last Sovereign,0.0,7.99,458,Dating Sim
228,2014,The Journey Down: Chapter Two,14.99,7.99,504,Atmospheric
229,2014,Super Panda Adventures,4.99,7.98,883,Platformer
230,2014,Bloons Monkey City,0.0,7.98,4657,Strategy
231,2014,Metro 2033 Redux,19.99,7.98,71344,Post-apocalyptic
232,2014,Sunrider: Mask of Arcadius,0.0,7.97,2761,Anime
233,2014,Momodora III,1.99,7.96,1184,Action
234,2014,Valkyria Chronicles™,4.99,7.96,12173,Anime
235,2014,Rodina,14.99,7.95,1315,Space
236,2014,FINAL FANTASY XIV Online,19.99,7.94,65436,MMORPG
237,2014,Black Ice,19.99,7.94,575,Exploration
238,2014,Crimsonland,13.99,7.93,2698,Action
239,2014,DARK SOULS™ II,24.99,7.93,40341,Souls-like
240,2014,ibb & obb,11.99,7.93,5989,Co-op
241,2014,LUFTRAUSERS,1.99,7.93,4221,Bullet Hell
242,2014,Shovel Knight: Shovel of Hope,14.99,7.92,653,Action
243,2014,Ultra Street Fighter® IV,3.74,7.91,13003,Fighting
244,2014,Town of Salem,4.99,7.91,36003,Strategy
245,2014,Sherlock Holmes: Crimes and Punishments,29.99,7.91,6048,Detective
246,2014,Escape Goat 2,9.99,7.91,405,Platformer
247,2014,Wargame: Red Dragon,29.99,7.9,17026,Strategy
248,2014,Voices from the Sea,0.0,7.89,1234,Visual Novel
249,2014,Boson X,2.99,7.89,1548,Difficult
250,2014,Legend of Grimrock 2,23.99,7.87,3390,Dungeon Crawler
251,2014,The Banner Saga,24.99,7.87,14662,RPG
252,2014,NEO Scavenger,14.99,7.86,4850,Survival
253,2014,Danmaku Amanojaku ~ Impossible Spell Card.,10.99,7.86,140,Bullet Hell
254,2014,METAL SLUG 3,7.99,7.86,7705,Arcade
255,2014,Lovely Planet,5.99,7.85,2576,Action
256,2014,Knightmare Tower,3.99,7.85,594,Action
257,2014,The Sims™ 4,0.0,7.85,96571,Life Sim
258,2014,Screencheat,14.99,7.85,1734,Split Screen
259,2014,Nidhogg,9.99,7.84,7361,Local Multiplayer
260,2014,Depth,19.99,7.84,32340,Action
261,2014,The Jackbox Party Pack,24.99,7.84,1630,Casual
262,2014,Sisyphus Reborn,0.0,7.84,934,Adventure
263,2014,Mountain,0.99,7.84,15975,Simulation
264,2014,Shadowrun: Dragonfall - Director's Cut,14.99,7.83,5839,RPG
265,2014,Craft The World,18.99,7.82,13676,Sandbox
266,2014,LEGO® Batman™ 3: Beyond Gotham,19.99,7.82,6531,LEGO
